id;id_classe;nom_classe;niveau
1;30026;Montana Refined Metal Chicken copy;Isle
2;49061;turquoise Colorado;Customer Soft
3;83447;foreground;Tanzania Tasty
4;39591;copy;International bandwidth
5;34241;Fords;Forward hard drive Steel
6;21531;communities;Borders Salad initiatives
7;56917;Zloty Credit Card Account;system monitoring
8;10000;multi-state orange Bahamian Dollar;Customer
9;28989;Ergonomic Wooden Hat Distributed;generating Rustic fuchsia
10;7977;Incredible Bedfordshire e-commerce;Decentralized Music panel
