id;id_filiere;nom_filiere;abreviation
1;95486;Human Faroe Islands compress;bandwidth Orchestrator cutting-edge
2;82069;web-readiness Specialist back up;Unbranded Rubber Computer
3;63282;Personal Loan Account Slovakia (Slovak Republic);PNG repurpose
4;98694;web-enabled;mesh Auto Loan Account
5;73209;experiences customized;International virtual
6;57279;Open-architected Small Developer;Officer
7;84897;Arkansas Architect Yen;Planner
8;45025;even-keeled e-services;Home Sleek Pants
9;70637;Avon Customizable Graphical User Interface;model
10;30910;Chips Paraguay Texas;sensor Libyan Dinar Cotton
