id;id_matiere;nom_matiere;abreviation
1;55302;Gorgeous mobile;navigating Gorgeous Granite Salad Checking Account
2;42060;quantifying Awesome;Berkshire Handcrafted
3;58028;Small Metal Shoes Personal Loan Account Avon;Gabon Consultant
4;89086;Papua New Guinea Knoll;card haptic Avon
5;90568;Avon Bedfordshire Small Cotton Fish;matrix Agent
6;75234;bypass Iowa Liaison;intangible bandwidth
7;61982;invoice solid state Plastic;Designer engineer
8;4492;vortals;markets US Dollar
9;63299;Persevering;process improvement
10;46936;architectures Future open-source;transmitting cross-platform Forges
